e0     , e1      ,  e2     ,   e3      , e4     
997.9  , 3599.2  ,  216.7  ,   1105.7  , 2993.9 
2210.3 , 1460.7  ,  996.3  ,   2789.5  , 1343.6 
1587.9 , 3316.9  ,  3599.4 ,   3250.7  , 160.7  
988.8  , 3506.6  ,  1776.1 ,   1253.0  , 457.0  
466.4  , 1115.1  ,  594.7  ,   1431.6  , 408.7  
1712.5 , 3150.1  ,  3599.5 ,   1055.7  , 3599.1 
224.3  , 732.3   ,  483.7  ,   406.5   , 67.9   
3599.2 , 1116.9  ,  2048.3 ,   3599.4  , 3177.3 
649.1  , 1048.1  ,  1031.0 ,   763.9   , 1196.9 
385.8  , 2066.9  ,  2673.7 ,   522.6   , 558.4  
51.5   , 427.2   ,  429.9  ,   173.0   , 175.9  
307.5  , 3148.7  ,  2018.7 ,   427.3   , 451.5  
1002.5 , 3599.2  ,  3599.2 ,   3599.4  , 2214.9 
2282.0 , 1153.6  ,  3105.6 ,   3046.4  , 3269.8 
2953.0 , 1853.6  ,  391.4  ,   3599.4  , 852.6  
133.0  , 400.7   ,  166.6  ,   172.7   , 329.1  
230.6  , 129.2   ,  381.6  ,   399.7   , 237.0  
312.8  , 329.0   ,  438.2  ,   135.8   , 91.7   
351.1  , 174.6   ,  2408.6 ,   923.9   , 452.1  
990.7  , 1320.1  ,  1545.1 ,   3160.4  , 1080.6 




















































































