inst;bule(chain);bule_time(chain); bule(nochain_TO1800);clasp(allTO);gurobi(allwithin1s)
wnq-20-1-20-0;71;20.50;  92;  72;  71;
wnq-20-1-20-1;47;26.78;  71;  47;  47;
wnq-20-1-20-2;83;24.88;  106; 91;  83;
wnq-20-1-20-3;63;22.38;  81;  63;  63;
wnq-20-1-20-4;61;34.63;  70;  61;  61;
wnq-20-1-20-5;69;68.81;  83;  75;  69;
wnq-20-1-20-6;55;13.88;  61;  55;  55;
wnq-20-1-20-7;67;27.95;  99;  77;  67;
wnq-20-1-20-8;65;322.18; 66;  66;  65;
wnq-20-1-20-9;66;36.04;  80;  66;  66;






















